Mode: chained; duration: 120.0s; speed: 150
Phase 1: forward 17 cm for 2.10s, then right 90 degrees for 2.68s
Circle mode: after 25.6s on P1110/P1111, or both within 1.0s, turn right about 42.5 degrees; auto-trace inside; sustained P1001 (0.1s) enters exit mode: drive 5 cm and turn right 50 degrees
Operator beside car, chassis secured, power ready to cut? (yes/no) Phase 1 starting: forward 17 cm
Phase 1 complete: turning right 90 degrees
Phase 2 starting: auto-tracing
   5.4s P0010 -> L150 R150: centred or right drift; forward-only policy
   9.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.5s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.5s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.5s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.5s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.5s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.5s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.5s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.6s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.6s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.6s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.6s P1100 -> L0 R150: left pair, needs >2.8cm of black; stronger left curve correction
   9.6s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.6s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.6s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.6s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.6s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.6s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
   9.8s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
   9.9s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.0s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.2s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.3s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.4s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.4s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.4s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.4s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.4s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.4s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.4s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.4s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.5s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.6s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.6s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.6s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.6s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.6s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.6s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.6s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  10.6s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.6s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.6s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.7s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.8s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.9s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.9s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.9s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.9s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.9s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.9s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.9s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.9s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.9s P0000 -> L150 R150: blind band or line lost; forward-only policy
  10.9s P0000 -> L150 R150: blind band or line lost; forward-only policy
  11.0s P0000 -> L150 R150: blind band or line lost; forward-only policy
  11.0s P0000 -> L150 R150: blind band or line lost; forward-only policy
  11.0s P0000 -> L150 R150: blind band or line lost; forward-only policy
  11.0s P0000 -> L150 R150: blind band or line lost; forward-only policy
  11.0s P0000 -> L150 R150: blind band or line lost; forward-only policy
  11.0s P0000 -> L150 R150: blind band or line lost; forward-only policy
  11.0s P0000 -> L150 R150: blind band or line lost; forward-only policy
  11.0s P0000 -> L150 R150: blind band or line lost; forward-only policy
  11.0s P0000 -> L150 R150: blind band or line lost; forward-only policy
  11.0s P0000 -> L150 R150: blind band or line lost; forward-only policy
  11.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
  11.1s P0000 -> L150 R150: blind band or line lost; forward-only policy
  11.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  11.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  11.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  11.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  11.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  11.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  11.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  11.1s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  11.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
  11.2s P1000 -> L-150 R150: far left, outer sensor only; hard left; left correction
